2025-02-14 17:35:07,050 - INFO - Process 0/2 starting training
2025-02-14 17:35:09,385 - INFO - Using provided sampler, shuffle set to False
2025-02-14 17:35:09,385 - INFO - Created DataLoader with: batch_size=2, num_workers=4, shuffle=False, sampler=provided
2025-02-14 19:17:45,233 - ERROR - Error in batch 14 on GPU 0: [Rank 0]: Ranks 1 failed to pass monitoredBarrier in 1800000 ms
2025-02-14 19:17:45,257 - ERROR - Error in batch 15 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 19:17:45,262 - ERROR - Error in batch 16 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 19:17:45,266 - ERROR - Error in batch 17 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 19:17:45,269 - ERROR - Error in batch 18 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 19:17:45,297 - ERROR - Error in batch 19 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 19:17:45,311 - ERROR - Error in batch 20 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
2025-02-14 19:17:45,327 - ERROR - Error in batch 21 on GPU 0: !unmarked_param_indices.empty() INTERNAL ASSERT FAILED at "/pytorch/torch/csrc/distributed/c10d/reducer.cpp":1924, please report a bug to PyTorch. 
